SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source
SRR11487939,21,0.2142,0.0277,10.1617,0.7092,0.0388,89.4737,11.4097,wgsa2,0.01,mixed
SRR11487940,21,0.2144,0.0275,10.1575,0.7108,0.0386,89.4737,11.3468,wgsa2,0.01,mixed
SRR11487941,21,0.2133,0.0276,10.1967,0.7104,0.0387,89.4737,11.406,wgsa2,0.01,mixed
SRR11487937,28,0.0895,0.0251,7.5766,0.6489,0.0333,94.7368,18.2358,woltka,0.01,mixed
SRR11487938,28,0.0851,0.0252,7.6508,0.6471,0.0336,94.7368,18.5847,woltka,0.01,mixed
SRR11487939,28,0.0912,0.0248,7.6232,0.6523,0.0333,94.7368,18.2311,woltka,0.01,mixed
SRR11487940,28,0.0872,0.025,7.6378,0.6493,0.0334,94.7368,18.6178,woltka,0.01,mixed
SRR11487941,28,0.0883,0.025,7.6308,0.6501,0.0334,94.7368,18.5604,woltka,0.01,mixed
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,biobakery3,0.0001,mixed
SRR11487938,20,0.3283,0.0234,7.8474,0.766,0.0306,94.7368,3.4926,biobakery3,0.0001,mixed
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,biobakery3,0.0001,mixed
SRR11487940,20,0.2909,0.023,8.3586,0.7696,0.0308,94.7368,4.0588,biobakery3,0.0001,mixed
SRR11487941,20,0.301,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,biobakery3,0.0001,mixed
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0,0.0,biobakery4,0.0001,mixed
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0,0.0,biobakery4,0.0001,mixed
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0,0.0,biobakery4,0.0001,mixed
SRR11487940,19,0.6161,0.017,1.9498,0.8385,0.0263,100.0,0.0,biobakery4,0.0001,mixed
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0,0.0,biobakery4,0.0001,mixed
SRR11487937,45,0.605,0.0105,10.2247,0.7633,0.0211,100.0,9.5311,jams,0.0001,mixed
SRR11487938,45,0.6213,0.0104,9.9119,0.7661,0.0207,100.0,8.6838,jams,0.0001,mixed
SRR11487939,46,0.5435,0.0106,10.714,0.7571,0.0235,100.0,12.1772,jams,0.0001,mixed
SRR11487940,47,0.6334,0.0098,10.487,0.7695,0.0201,100.0,8.6902,jams,0.0001,mixed
SRR11487941,48,0.6133,0.0098,10.7772,0.7648,0.0207,100.0,9.6941,jams,0.0001,mixed
SRR11487937,51,0.5843,0.0101,10.6105,0.7428,0.0211,100.0,10.8453,jams202212,0.0001,mixed
SRR11487938,54,0.621,0.0093,10.8843,0.7502,0.0197,100.0,9.5623,jams202212,0.0001,mixed
SRR11487939,55,0.5313,0.0096,11.3987,0.7351,0.0228,100.0,13.2933,jams202212,0.0001,mixed
SRR11487940,50,0.6238,0.0097,9.8008,0.7564,0.02,100.0,9.3152,jams202212,0.0001,mixed
SRR11487941,57,0.6092,0.0088,11.3535,0.7494,0.0198,100.0,10.6425,jams202212,0.0001,mixed
SRR11487937,66,0.5533,0.0091,14.8848,0.7,0.0213,89.4737,14.2288,wgsa2,0.0001,mixed
SRR11487938,65,0.5554,0.0092,14.8174,0.7008,0.0215,89.4737,13.9374,wgsa2,0.0001,mixed
SRR11487939,66,0.5563,0.0091,14.8343,0.7003,0.0214,89.4737,14.0539,wgsa2,0.0001,mixed
SRR11487940,64,0.5549,0.0093,14.7989,0.7015,0.0216,89.4737,14.1164,wgsa2,0.0001,mixed
SRR11487941,65,0.5557,0.0092,14.7433,0.7017,0.0215,89.4737,13.9811,wgsa2,0.0001,mixed
SRR11487937,228,0.5013,0.0035,20.4395,0.6003,0.0114,94.7368,27.0437,woltka,0.0001,mixed
SRR11487938,229,0.4956,0.0035,20.5033,0.5964,0.0115,94.7368,27.5548,woltka,0.0001,mixed
SRR11487939,229,0.5032,0.0035,20.4922,0.6029,0.0114,94.7368,27.0753,woltka,0.0001,mixed
SRR11487940,237,0.5002,0.0034,20.9385,0.5965,0.0112,94.7368,27.6889,woltka,0.0001,mixed
SRR11487941,234,0.5008,0.0034,20.7761,0.598,0.0113,94.7368,27.5963,woltka,0.0001,mixed
SRR11487931,19,0.9172,0.0153,7.9875,0.8547,0.0286,89.4737,0.0,biobakery3,0.001,hilo
SRR11487932,19,0.9064,0.0149,7.1893,0.8588,0.0292,89.4737,0.0,biobakery3,0.001,hilo
SRR11487933,19,0.9102,0.0138,9.67,0.8691,0.0275,89.4737,0.0,biobakery3,0.001,hilo
SRR11487934,19,0.8985,0.0146,8.9969,0.8609,0.0293,89.4737,0.0,biobakery3,0.001,hilo
SRR11487935,19,0.9147,0.0132,7.7885,0.8749,0.0266,89.4737,0.0,biobakery3,0.001,hilo
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0,0.0,biobakery4,0.001,hilo
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0,0.0,biobakery4,0.001,hilo
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0,0.0,biobakery4,0.001,hilo
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0,0.0,biobakery4,0.001,hilo
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0,0.0,biobakery4,0.001,hilo
SRR11487931,20,0.8953,0.0198,11.748,0.8023,0.0318,100.0,3.0963,jams,0.001,hilo
SRR11487932,20,0.89,0.0199,11.9771,0.8007,0.0323,100.0,2.9591,jams,0.001,hilo
SRR11487933,20,0.9,0.0191,11.4871,0.8092,0.03,100.0,3.1564,jams,0.001,hilo
SRR11487934,20,0.8932,0.0196,11.6981,0.8037,0.0313,94.7368,3.051,jams,0.001,hilo
SRR11487935,20,0.9063,0.0188,11.4537,0.8117,0.0293,100.0,3.1681,jams,0.001,hilo
SRR11487931,20,0.8931,0.0199,11.4195,0.8014,0.0323,100.0,2.5571,jams202212,0.001,hilo
SRR11487932,21,0.8914,0.0189,12.6323,0.8015,0.0317,94.7368,2.4721,jams202212,0.001,hilo
SRR11487933,20,0.9002,0.019,10.8688,0.8102,0.0302,100.0,2.5229,jams202212,0.001,hilo
SRR11487934,20,0.8926,0.0196,11.2917,0.8045,0.0315,100.0,2.4431,jams202212,0.001,hilo
SRR11487935,20,0.9065,0.0187,11.5577,0.8126,0.0294,100.0,2.5487,jams202212,0.001,hilo
SRR11487931,20,0.9046,0.0199,10.9579,0.8006,0.037,89.4737,3.2815,wgsa2,0.001,hilo
SRR11487932,21,0.9036,0.0191,11.7479,0.7993,0.036,89.4737,3.5353,wgsa2,0.001,hilo
SRR11487933,20,0.9108,0.019,10.7438,0.8104,0.0338,89.4737,3.4487,wgsa2,0.001,hilo
SRR11487934,21,0.9089,0.0184,11.2234,0.8072,0.0339,89.4737,3.4751,wgsa2,0.001,hilo
SRR11487935,20,0.914,0.0187,10.7868,0.8131,0.0332,89.4737,3.5145,wgsa2,0.001,hilo
SRR11487931,35,0.3292,0.0258,14.7509,0.5482,0.0597,94.7368,19.6436,woltka,0.001,hilo
SRR11487932,35,0.3133,0.0263,14.9062,0.5403,0.0609,94.7368,19.797,woltka,0.001,hilo
SRR11487933,35,0.3217,0.0258,14.6135,0.5491,0.0599,94.7368,19.4825,woltka,0.001,hilo
SRR11487934,34,0.333,0.0262,14.6059,0.5551,0.06,94.7368,19.2722,woltka,0.001,hilo
SRR11487935,34,0.3261,0.0262,14.5054,0.5546,0.0603,94.7368,19.1993,woltka,0.001,hilo
SRR11487931,13,0.9049,0.0218,5.146,0.8582,0.0345,100.0,0.0,biobakery3,0.01,hilo
SRR11487932,13,0.8911,0.021,4.6129,0.8634,0.0352,100.0,0.0,biobakery3,0.01,hilo
SRR11487933,13,0.8945,0.0195,6.0159,0.873,0.0334,100.0,0.0,biobakery3,0.01,hilo
SRR11487934,13,0.8808,0.0208,5.6867,0.865,0.0355,100.0,0.0,biobakery3,0.01,hilo
SRR11487935,13,0.8995,0.0186,4.9587,0.8789,0.0322,100.0,0.0,biobakery3,0.01,hilo
SRR11487931,13,0.9198,0.0274,2.3953,0.8219,0.048,100.0,0.0,biobakery4,0.01,hilo
SRR11487932,13,0.9172,0.028,2.3958,0.8183,0.0479,100.0,0.0,biobakery4,0.01,hilo
SRR11487933,13,0.927,0.0256,2.2891,0.8336,0.0439,100.0,0.0,biobakery4,0.01,hilo
SRR11487934,13,0.9223,0.0266,2.2637,0.8274,0.0454,100.0,0.0,biobakery4,0.01,hilo
SRR11487935,13,0.9297,0.0254,2.1739,0.8349,0.0433,100.0,0.0,biobakery4,0.01,hilo
SRR11487931,14,0.882,0.0274,7.013,0.8084,0.0379,100.0,3.097,jams,0.01,hilo
SRR11487932,14,0.8758,0.0276,6.9436,0.8067,0.0385,100.0,2.9599,jams,0.01,hilo
SRR11487933,14,0.8863,0.0264,7.8273,0.8152,0.0358,100.0,3.1573,jams,0.01,hilo
SRR11487934,14,0.8788,0.0272,6.7261,0.8097,0.0373,100.0,3.0517,jams,0.01,hilo
SRR11487935,14,0.8936,0.026,6.5698,0.8178,0.0349,100.0,3.1688,jams,0.01,hilo
SRR11487931,14,0.8797,0.0275,5.6968,0.8075,0.0384,100.0,2.5576,jams202212,0.01,hilo
SRR11487932,14,0.8761,0.0275,5.1782,0.8077,0.0387,100.0,2.3585,jams202212,0.01,hilo
SRR11487933,14,0.8867,0.0263,5.4377,0.8162,0.0359,100.0,2.5236,jams202212,0.01,hilo
SRR11487934,14,0.8782,0.0271,5.1476,0.8105,0.0375,100.0,2.4437,jams202212,0.01,hilo
SRR11487935,14,0.894,0.0259,5.3214,0.8186,0.035,100.0,2.5492,jams202212,0.01,hilo
SRR11487931,14,0.8987,0.0282,4.1726,0.8023,0.0442,100.0,3.2957,wgsa2,0.01,hilo
SRR11487932,14,0.8972,0.0283,4.2191,0.8019,0.0443,100.0,3.292,wgsa2,0.01,hilo
SRR11487933,14,0.9037,0.0268,4.1555,0.8121,0.0404,100.0,3.4636,wgsa2,0.01,hilo
SRR11487934,14,0.9017,0.0272,4.1397,0.8096,0.0417,100.0,3.3153,wgsa2,0.01,hilo
SRR11487935,14,0.9072,0.0264,4.1249,0.8149,0.0396,100.0,3.5292,wgsa2,0.01,hilo
SRR11487931,17,0.2214,0.0522,7.9312,0.5561,0.0871,100.0,17.7903,woltka,0.01,hilo
SRR11487932,17,0.2065,0.0532,8.0039,0.548,0.0888,100.0,17.9546,woltka,0.01,hilo
SRR11487933,17,0.2124,0.0521,7.8715,0.5568,0.0874,100.0,17.6438,woltka,0.01,hilo
SRR11487934,17,0.2267,0.0515,7.8665,0.5626,0.0861,100.0,17.5159,woltka,0.01,hilo
SRR11487935,17,0.2191,0.0515,7.8075,0.562,0.0866,100.0,17.4761,woltka,0.01,hilo
SRR11487931,19,0.9172,0.0153,7.9875,0.8547,0.0286,89.4737,0.0,biobakery3,0.0001,hilo
SRR11487932,19,0.9064,0.0149,7.1893,0.8588,0.0292,89.4737,0.0,biobakery3,0.0001,hilo
SRR11487933,19,0.9102,0.0138,9.67,0.8691,0.0275,89.4737,0.0,biobakery3,0.0001,hilo
SRR11487934,20,0.9001,0.0139,9.3773,0.8608,0.0286,89.4737,0.0477,biobakery3,0.0001,hilo
SRR11487935,19,0.9147,0.0132,7.7885,0.8749,0.0266,89.4737,0.0,biobakery3,0.0001,hilo
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0,0.0,biobakery4,0.0001,hilo
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0,0.0,biobakery4,0.0001,hilo
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0,0.0,biobakery4,0.0001,hilo
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0,0.0,biobakery4,0.0001,hilo
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0,0.0,biobakery4,0.0001,hilo
SRR11487931,26,0.901,0.0152,12.9272,0.8021,0.0278,100.0,3.2783,jams,0.0001,hilo
SRR11487932,27,0.8969,0.0148,12.7516,0.8005,0.0278,100.0,3.0798,jams,0.0001,hilo
SRR11487933,27,0.9066,0.0141,12.2769,0.8091,0.0258,100.0,3.2801,jams,0.0001,hilo
SRR11487934,28,0.9007,0.014,13.2173,0.8033,0.0263,94.7368,3.3177,jams,0.0001,hilo
SRR11487935,28,0.9129,0.0135,12.8052,0.8114,0.0247,100.0,3.3911,jams,0.0001,hilo
SRR11487931,30,0.9013,0.0133,12.8402,0.8011,0.0263,100.0,2.8015,jams202212,0.0001,hilo
SRR11487932,28,0.8975,0.0142,13.2472,0.8014,0.0274,94.7368,2.5902,jams202212,0.0001,hilo
SRR11487933,31,0.9089,0.0123,11.9854,0.8099,0.0241,100.0,2.7276,jams202212,0.0001,hilo
SRR11487934,30,0.9013,0.0131,12.5519,0.8041,0.0256,100.0,2.6658,jams202212,0.0001,hilo
SRR11487935,29,0.9136,0.0129,12.5526,0.8123,0.0244,100.0,2.7089,jams202212,0.0001,hilo
SRR11487931,40,0.9104,0.0101,12.466,0.7984,0.0258,89.4737,3.9102,wgsa2,0.0001,hilo
SRR11487932,39,0.9091,0.0104,12.9089,0.7974,0.0261,89.4737,4.0958,wgsa2,0.0001,hilo
SRR11487933,42,0.9178,0.0091,12.1933,0.8081,0.023,89.4737,4.0933,wgsa2,0.0001,hilo
SRR11487934,40,0.9148,0.0097,12.3884,0.8052,0.0243,89.4737,4.0552,wgsa2,0.0001,hilo
SRR11487935,43,0.9209,0.0088,12.2282,0.8107,0.0223,89.4737,4.1729,wgsa2,0.0001,hilo
SRR11487931,133,0.3934,0.007,16.3473,0.5356,0.0303,94.7368,22.3368,woltka,0.0001,hilo
SRR11487932,137,0.3783,0.0069,16.5801,0.5277,0.0305,94.7368,22.5242,woltka,0.0001,hilo
SRR11487933,137,0.3875,0.0068,16.3657,0.536,0.03,94.7368,22.2556,woltka,0.0001,hilo
SRR11487934,136,0.4007,0.0067,16.3337,0.5419,0.0297,94.7368,22.0471,woltka,0.0001,hilo
SRR11487935,138,0.3947,0.0067,16.2957,0.5411,0.0296,94.7368,22.0347,woltka,0.0001,hilo
S1,13,0.1411,0.1123,11.9022,0.2702,0.1844,36.3636,2.5913,biobakery3,0.001,bmock12
S1,13,0.2384,0.0721,11.3065,0.5313,0.1068,63.6364,17.9266,biobakery4,0.001,bmock12
S1,24,0.0815,0.0528,17.0031,0.3668,0.0845,54.5455,49.6958,jams,0.001,bmock12
S1,31,0.0202,0.0439,19.1288,0.3199,0.0821,45.4545,36.2572,wgsa2,0.001,bmock12
S1,26,0.2274,0.0619,18.9979,0.1949,0.1576,9.0909,7.3008,woltka,0.001,bmock12
S1,12,0.1319,0.1216,9.3886,0.2702,0.193,36.3636,2.0672,biobakery3,0.01,bmock12
S1,12,0.2174,0.0783,10.8201,0.5302,0.1117,60.0,18.024,biobakery4,0.01,bmock12
S1,17,0.033,0.0749,13.9093,0.3637,0.1024,50.0,49.1705,jams,0.01,bmock12
S1,16,0.0073,0.0838,13.9461,0.3292,0.1194,40.0,32.6394,wgsa2,0.01,bmock12
S1,11,0.2029,0.1461,7.8232,0.1967,0.2556,10.0,2.3966,woltka,0.01,bmock12
S1,14,0.1501,0.1043,16.618,0.2702,0.1776,36.3636,2.6303,biobakery3,0.0001,bmock12
S1,13,0.2384,0.0721,11.3065,0.5313,0.1068,63.6364,17.9266,biobakery4,0.0001,bmock12
S1,42,0.1427,0.0302,22.3681,0.3656,0.0637,54.5455,50.0438,jams,0.0001,bmock12
S1,83,0.0693,0.0165,24.4673,0.3159,0.0497,45.4545,37.3443,wgsa2,0.0001,bmock12
S1,109,0.2502,0.0148,26.4484,0.1949,0.0729,9.0909,11.9647,woltka,0.0001,bmock12
SRR17380241,25,0.3565,0.0191,10.582,0.7617,0.0256,78.9474,12.0932,biobakery3,0.001,tourlousse
SRR17380242,25,0.3518,0.0193,9.4857,0.759,0.0255,78.9474,12.4079,biobakery3,0.001,tourlousse
SRR17380243,25,0.3558,0.019,9.9342,0.7624,0.0254,78.9474,12.1881,biobakery3,0.001,tourlousse
SRR17380244,24,0.311,0.02,9.5989,0.7597,0.0262,78.9474,11.934,biobakery3,0.001,tourlousse
SRR17380245,25,0.3572,0.0189,12.117,0.7632,0.0255,78.9474,12.1487,biobakery3,0.001,tourlousse
SRR17380246,25,0.3541,0.0191,11.5541,0.7612,0.0256,78.9474,12.1056,biobakery3,0.001,tourlousse
SRR17380241,20,0.3281,0.0096,3.8092,0.9043,0.0169,94.7368,4.7301,biobakery4,0.001,tourlousse
SRR17380242,20,0.3288,0.0099,3.8478,0.9008,0.017,94.7368,4.7592,biobakery4,0.001,tourlousse
SRR17380243,20,0.3319,0.0096,3.8206,0.9042,0.0168,94.7368,4.7396,biobakery4,0.001,tourlousse
SRR17380244,20,0.3375,0.0094,3.7895,0.9058,0.0168,94.7368,4.6947,biobakery4,0.001,tourlousse
SRR17380245,20,0.3249,0.0095,3.8067,0.9054,0.0169,94.7368,4.7237,biobakery4,0.001,tourlousse
SRR17380246,20,0.3355,0.0094,3.7761,0.9059,0.0167,94.7368,4.6524,biobakery4,0.001,tourlousse
SRR17380241,25,0.3296,0.0189,4.6136,0.7632,0.0231,100.0,9.7561,jams,0.001,tourlousse
SRR17380242,24,0.268,0.0197,4.8642,0.7642,0.0241,100.0,9.5527,jams,0.001,tourlousse
SRR17380243,23,0.1996,0.0204,4.8051,0.7657,0.0248,100.0,9.431,jams,0.001,tourlousse
SRR17380244,24,0.2786,0.0195,4.6793,0.7664,0.0239,100.0,9.1446,jams,0.001,tourlousse
SRR17380245,24,0.2753,0.0196,4.5927,0.7651,0.0239,100.0,9.3524,jams,0.001,tourlousse
SRR17380246,25,0.3202,0.019,4.8406,0.7621,0.0235,100.0,9.7275,jams,0.001,tourlousse
SRR17380241,24,0.2676,0.0199,5.1263,0.7616,0.024,100.0,9.6312,jams202212,0.001,tourlousse
SRR17380242,24,0.2724,0.0197,5.1942,0.7631,0.024,100.0,9.4303,jams202212,0.001,tourlousse
SRR17380243,27,0.4215,0.0175,5.138,0.7639,0.0222,100.0,9.2484,jams202212,0.001,tourlousse
SRR17380244,25,0.3421,0.0189,5.0559,0.7643,0.023,100.0,9.1397,jams202212,0.001,tourlousse
SRR17380245,25,0.3311,0.019,4.9139,0.763,0.0233,100.0,9.4428,jams202212,0.001,tourlousse
SRR17380246,24,0.2769,0.0199,5.0352,0.7615,0.0236,100.0,9.5381,jams202212,0.001,tourlousse
SRR17380241,28,0.1307,0.0218,9.8631,0.6941,0.0333,89.4737,19.3226,wgsa2,0.001,tourlousse
SRR17380242,28,0.1258,0.0219,9.8869,0.6929,0.0338,89.4737,19.4958,wgsa2,0.001,tourlousse
SRR17380243,28,0.1332,0.0218,9.8525,0.6943,0.0332,89.4737,19.1846,wgsa2,0.001,tourlousse
SRR17380244,28,0.1297,0.0218,9.8604,0.6951,0.0334,89.4737,19.3297,wgsa2,0.001,tourlousse
SRR17380245,28,0.1314,0.0218,9.8619,0.6953,0.0333,89.4737,19.2688,wgsa2,0.001,tourlousse
SRR17380246,28,0.131,0.0218,9.8654,0.695,0.0333,89.4737,19.3013,wgsa2,0.001,tourlousse
SRR17380241,50,0.3308,0.0186,9.2833,0.5339,0.0271,94.7368,21.4845,woltka,0.001,tourlousse
SRR17380242,50,0.3321,0.0186,9.2954,0.5348,0.0268,94.7368,21.8792,woltka,0.001,tourlousse
SRR17380243,50,0.3314,0.0186,9.2991,0.5341,0.027,94.7368,21.5016,woltka,0.001,tourlousse
SRR17380244,50,0.3292,0.0187,9.3007,0.5331,0.0271,94.7368,21.4798,woltka,0.001,tourlousse
SRR17380245,50,0.3297,0.0187,9.2938,0.5331,0.0271,94.7368,21.4445,woltka,0.001,tourlousse
SRR17380246,50,0.3292,0.0187,9.3104,0.5331,0.0272,94.7368,21.4827,woltka,0.001,tourlousse
SRR17380241,21,0.1714,0.0225,8.753,0.7642,0.0283,78.9474,10.0125,biobakery3,0.01,tourlousse
SRR17380242,22,0.2279,0.0217,9.13,0.7611,0.0274,78.9474,10.7107,biobakery3,0.01,tourlousse
SRR17380243,22,0.228,0.0214,9.4052,0.7642,0.0274,78.9474,10.7016,biobakery3,0.01,tourlousse
SRR17380244,21,0.1661,0.0227,8.9555,0.7621,0.0283,78.9474,9.9235,biobakery3,0.01,tourlousse
SRR17380245,21,0.1716,0.0223,8.7325,0.7658,0.0282,78.9474,10.0556,biobakery3,0.01,tourlousse
SRR17380246,21,0.17,0.0225,8.9651,0.7638,0.0283,78.9474,9.9389,biobakery3,0.01,tourlousse
SRR17380241,20,0.3281,0.0096,3.8092,0.9043,0.0169,94.7368,4.7301,biobakery4,0.01,tourlousse
SRR17380242,20,0.3288,0.0099,3.8478,0.9008,0.017,94.7368,4.7592,biobakery4,0.01,tourlousse
SRR17380243,20,0.3319,0.0096,3.8206,0.9042,0.0168,94.7368,4.7396,biobakery4,0.01,tourlousse
SRR17380244,20,0.3375,0.0094,3.7895,0.9058,0.0168,94.7368,4.6947,biobakery4,0.01,tourlousse
SRR17380245,20,0.3249,0.0095,3.8067,0.9054,0.0169,94.7368,4.7237,biobakery4,0.01,tourlousse
SRR17380246,20,0.3355,0.0094,3.7761,0.9059,0.0167,94.7368,4.6524,biobakery4,0.01,tourlousse
SRR17380241,21,0.0655,0.0219,4.5139,0.7704,0.0254,100.0,8.0227,jams,0.01,tourlousse
SRR17380242,21,0.05,0.0221,4.7365,0.7679,0.0258,100.0,8.6403,jams,0.01,tourlousse
SRR17380243,21,0.0398,0.0222,4.6513,0.7671,0.026,100.0,9.0848,jams,0.01,tourlousse
